Time,Hot Water,Space Heat,Electricity,Charge
134,185.0231288,3455.27214,588.46925,300
135,185.0231288,4411.649528,878.52275,300
136,185.0231288,4567.390552,600.48975,300
137,185.0231288,4610.012591,1036.32575,300
138,686.9094993,4561.709446,512.53775,300
139,185.0231288,4449.120424,609.787,300
140,185.0231288,4471.3668,1794.18875,300
141,185.0231288,4534.266444,1172.914,300
142,217.1560977,4866.19926,1847.97075,300
143,185.0231288,3167.56533,1077.37575,300
144,185.0231288,414.8338658,412.76075,300
145,228.2026521,1530.443568,219.42575,300
146,185.2962161,2505.166004,235.5555,300
147,185.2962161,3151.342013,247.2235,300
148,185.2962161,3618.137052,245.4965,300
149,185.2962161,3909.269167,242.207,300
150,627.7766599,4049.688428,243.268,300
151,2252.503554,6236.618753,490.06725,300
152,748.4531446,9349.169603,268.52275,300
153,549.2411699,8109.956224,360.16675,300
154,185.2962161,6545.009096,734.0845,300
155,185.2962161,4974.62015,368.657,300
156,185.2962161,4660.272868,273.53575,300
157,185.2962161,4625.973293,833.52575,300
158,436.6097842,4277.570851,279.5755,300
159,185.2962161,4355.362186,354.204,300
160,185.2962161,4447.18174,242.2065,300
161,185.2962161,4860.353218,282.22575,300
162,219.7752117,4768.154789,488.80725,300
163,185.2962161,4514.713284,921.2075,300
164,553.0721694,4737.522251,1009.81175,300
165,185.2962161,5020.139203,877.4455,300
166,185.2962161,5129.471256,762.522,300
167,233.56681,3385.873471,456.0775,300
168,1778.225814,653.2729649,251.7435,300
169,185.5645748,2034.154413,247.8415,300
170,185.5653223,2928.984457,247.5145,300
171,185.5653223,3592.977734,243.48025,300
172,185.5653223,4146.060495,243.5665,300
173,185.5653223,4596.486137,234.79825,300
174,185.5653223,5015.099467,236.4775,300
175,2308.719445,7387.277722,242.13675,300
176,185.5653223,10242.67186,349.14325,300
177,185.5653223,8886.244223,228.616,300
178,233.9060197,8141.158894,229.4525,300
179,207.0500767,7256.637121,264.576,300
180,185.5653223,6442.006265,1355.386,300
181,185.5653223,6165.946135,772.5765,300
182,185.5653223,6051.356521,763.3095,300
183,185.5653223,6192.465764,462.08775,300
184,185.5653223,6271.956436,302.751,300
185,185.5653223,6284.802908,728.27375,300
186,1839.891411,6401.903908,665.817,300
187,622.9335369,6239.674303,632.274,300
188,314.8575051,6023.029064,252.39,300
189,185.5653223,6113.083635,244.4645,300
190,443.3823752,6185.569932,438.77325,300
191,1290.111892,4305.098447,625.006,300
192,956.3308865,1435.755502,523.0385,300
193,185.8296625,2678.619275,457.7495,300
194,185.8303988,3484.608078,438.086,300
195,185.8303988,4031.701084,447.092,300
196,185.8303988,4356.767936,461.242,300
197,185.8303988,4559.177123,336.16975,300
198,233.4717412,4736.909636,247.23775,300
199,877.3982724,6923.042619,375.45075,300
200,185.8303988,10002.08469,510.85275,300
201,185.8303988,8881.713469,437.14725,300
202,185.8303988,7893.264306,375.60475,300
203,185.8303988,6487.623942,294.224,300
204,1283.118092,5066.66455,230.07725,300
205,308.7757986,5024.926299,563.4885,300
206,185.8303988,5424.297741,243.63675,300
207,185.8303988,5255.832089,363.78275,300
208,185.8303988,5514.161828,336.928,300
209,212.724705,5608.491219,483.23575,300
210,185.8303988,5363.496174,484.17875,300
211,923.5027973,5225.4571,473.5245,300
212,431.7211983,5470.401723,449.897,300
213,185.8303988,5693.640046,449.2985,300
214,185.8303988,5925.460552,843.2885,300
215,185.8303988,4144.024494,682.917,300
216,185.8303988,1452.229702,391.22175,300
217,186.090673,2882.825159,273.966,300
218,186.091398,3849.887459,245.17725,300
219,186.091398,4513.344492,245.135,300
220,186.091398,4942.69212,243.7415,300
221,186.091398,5257.094456,239.8595,300
222,186.091398,5395.555088,701.2255,300
223,310.7484507,7427.21318,666.63025,300
224,186.091398,10254.39386,363.41075,300
225,186.091398,8985.967097,396.0045,300
226,2332.962862,8207.741775,628.205,300
227,186.091398,7908.30633,1192.558,300
228,1017.138416,7508.281907,530.1315,300
229,186.091398,7081.70579,418.51875,300
230,186.091398,6541.55605,945.91275,300
231,186.091398,6477.503654,902.4855,300
232,186.091398,6706.604221,871.25375,300
233,1903.588569,6483.240596,643.3115,300
234,1017.138416,6251.6071,588.827,300
235,546.2117726,6239.400945,562.584,300
236,1629.266104,6410.050726,642.3855,300
237,186.091398,6505.05809,454.54875,300
238,226.4895169,6494.694132,481.44525,300
239,186.091398,4351.663958,620.06175,300
240,186.091398,1395.96224,469.2545,300
241,186.34756,2677.119355,251.31225,300
242,186.3482735,3580.834883,243.05025,300
243,186.3482735,4176.597718,239.6435,300
244,186.3482735,4587.790669,242.338,300
245,186.3482735,4852.9284,242.037,300
246,186.3482735,4881.431382,386.461,300
247,486.8628361,6867.357331,1020.67275,300
248,186.3482735,9941.601189,437.80575,300
249,2128.134678,8796.79475,365.45425,300
250,1259.724647,8076.277695,360.3355,300
251,186.3482735,7655.266231,484.4845,300
252,186.3482735,7178.613851,316.44675,300
253,537.7191467,6727.32591,241.84525,300
254,186.3482735,6487.653575,1045.8445,300
255,186.3482735,6334.970825,308.06575,300
256,186.3482735,6402.086188,484.843,300
257,186.3482735,6400.817035,1235.4315,300
258,186.3482735,6318.519909,738.459,300
259,1350.264291,6257.164688,815.70575,300
260,186.3482735,6433.270166,668.5205,300
261,186.3482735,6557.03496,751.3725,300
262,3995.177717,6836.495432,501.45575,300
263,186.3482735,5000.563769,517.92575,300
264,186.3482735,2278.223554,504.3385,300
265,186.6002785,3729.904623,481.8005,300
266,186.6009805,4718.439624,255.3315,300
267,186.6009805,5334.513595,228.89775,300
268,186.6009805,5690.823883,263.73875,300
